Altitude,Latitude,Loctime,Electron Density,Electron Temperature,Density
1.334E+03,-6.1E+01,7.2E+01,1.88E+03,5.89E-02,1.19E+01
1.249E+03,-6.9E+01,7.7E+01,1.635E+03,2.9E-02,1.46E+01
1.195E+03,-7.9E+01,8.4E+01,2.049E+03,1.6E-03,1.2E+01
1.195E+03,-7.9E+01,8.4E+01,7.72E+02,9.7E-03,7.4E+00
1.174E+03,-8.9E+01,9E+01,8.92E+02,3.32E-02,6.6E+00
1.185E+03,-7.7E+01,9.6E+01,1.328E+03,5.73E-02,6.6E+00
1.23E+03,-6.5E+01,1.01E+02,8.41E+02,5.75E-02,1.2E+00
1.278E+03,6.3E+01,1.7E+02,8.07E+02,4.94E-02,1.2E+00
1.278E+03,6.3E+01,1.7E+02,7.86E+02,3.89E-02,7.2E+00
1.152E+03,6.5E+01,1.58E+02,8.69E+02,3.78E-02,9.4E+00
1.055E+03,6.7E+01,1.46E+02,7.04E+02,3.74E-02,7.1E+00
9.88E+02,6.9E+01,1.34E+02,5.43E+02,3.96E-02,4.4E+00
9.54E+02,7.1E+01,1.23E+02,4.3E+02,3.53E-02,3.5E+00
9.53E+02,7.3E+01,1.14E+02,7.71E+02,3.95E-02,4.8E+00
9.86E+02,7.6E+01,1.06E+02,8.57E+02,3.3E-02,7.3E+00
9.86E+02,7.6E+01,1.06E+02,1.077E+03,4.44E-02,1.12E+01
1.052E+03,7.9E+01,1E+02,1.094E+03,5.8E-02,2E+00
1.249E+03,5.8E+01,-3.6E+01,2.215E+03,6.27E-02,1.09E+01
1.14E+03,5.5E+01,-2.8E+01,2.874E+03,5.09E-02,1.84E+01
1.061E+03,5.1E+01,-2E+01,3.062E+03,5.24E-02,1.76E+01
1.014E+03,4.7E+01,-1.3E+01,3.041E+03,5.47E-02,1.84E+01
9.99E+02,4.4E+01,-6E+00,2.878E+03,4.73E-02,1.83E+01
9.99E+02,4.4E+01,-6E+00,3.118E+03,5.41E-02,1.97E+01
1.018E+03,4E+01,0E+00,2.762E+03,5.56E-02,2.08E+01
1.07E+03,3.7E+01,5E+00,nan,nan,8.1E+00
1.341E+03,7.8E+01,1.33E+02,9.02E+02,5.57E-02,1E+00
1.205E+03,8E+01,1.18E+02,7.05E+02,3.37E-02,2.1E+00
1.097E+03,8.2E+01,1.06E+02,7.86E+02,4.27E-02,2.2E+00
1.019E+03,8.4E+01,9.8E+01,nan,nan,2.9E+00
9.73E+02,8.7E+01,9.2E+01,nan,nan,2.9E+00
9.59E+02,8.9E+01,8.7E+01,8.68E+02,3.86E-02,3.2E+00
9.8E+02,8.6E+01,8.4E+01,1.058E+03,3.57E-02,4.4E+00
9.8E+02,8.6E+01,8.4E+01,1.692E+03,4.29E-02,1.03E+01
1.033E+03,8.2E+01,8.1E+01,1.712E+03,6.36E-02,3.9E+00
1.263E+03,8.8E+01,9.1E+01,1.843E+03,7.65E-02,2.7E+00
1.263E+03,8.8E+01,9.1E+01,1.767E+03,5.48E-02,9.1E+00
1.147E+03,8.8E+01,8.5E+01,1.35E+03,3.77E-02,8.1E+00
1.059E+03,8.6E+01,8.1E+01,1.498E+03,5.9E-02,6.7E+00
1.003E+03,8.2E+01,7.8E+01,nan,nan,7.5E+00
9.8E+02,7.9E+01,7.5E+01,1.48E+03,4.95E-02,8.9E+00
9.9E+02,7.4E+01,7.3E+01,1.905E+03,5.85E-02,9.9E+00
1.033E+03,6.9E+01,7.1E+01,1.936E+03,4.61E-02,1.27E+01
1.033E+03,6.9E+01,7.1E+01,1.922E+03,5.62E-02,6.6E+00
1.208E+03,3.7E+01,1.39E+02,3.78E+02,3.81E-02,1E+00
1.11E+03,3.4E+01,1.35E+02,3.3E+02,3.97E-02,1.2E+00
1.042E+03,3.1E+01,1.32E+02,2.59E+02,3.05E-02,1.4E+00
1.005E+03,2.7E+01,1.28E+02,2.7E+02,3.1E-02,1.3E+00
1.002E+03,2.2E+01,1.25E+02,3.2E+02,2.85E-02,1E+00
